fire,kappa,accuracy,n_samples,n_classes
alisal_2021,,0.0,1,1
apple_2020,0.4621886120996441,0.6025641025641025,78,4
atlas_2017,0.3076923076923077,0.5555555555555556,9,3
bald_2014,0.47619047619047605,0.6363636363636364,22,4
blueridge_2020,,0.5,2,1
bond_2020,-0.04347826086956519,0.1111111111111111,9,3
borel_2024,,0.5,2,1
briceburg_2019,,0.0,1,1
caldor_2021,0.48718983256001624,0.6219512195121951,246,4
camp_2018,0.4545454545454546,0.625,8,4
canyonII_2017,0.11184210526315785,0.4,15,4
carmel_2020,,1.0,1,1
carr_2018,0.30157095029616265,0.5752212389380531,113,4
castle_2020,0.1727681438664096,0.391304347826087,46,4
creek_2020,0.3689996643168849,0.5296803652968036,219,4
czulightningcomplex_2020,0.27774254914394414,0.4925373134328358,67,4
day_2014,0.18018018018018012,0.46153846153846156,13,4
detwiler_2017,,0.0,1,1
dixie_2021,0.29491049377734013,0.5027548209366391,726,4
donnell_2018,0.5017994858611825,0.6274509803921569,51,4
eaton_2025,0.33333333333333337,0.6666666666666666,6,2
eiler_2014,0.35064935064935054,0.6,25,4
eldorado_2020,0.3648460774577954,0.524390243902439,82,4
emerald_2022,1.0,1.0,2,2
franklin_2024,0.16666666666666663,0.6,5,2
french_2021,-0.16666666666666674,0.2857142857142857,7,2
getty_2019,0.0,0.3333333333333333,3,2
glass_2020,0.260752688172043,0.56,25,4
hennessey_2020,0.17894736842105274,0.6923076923076923,39,2
hill_2018,-0.24137931034482762,0.1111111111111111,9,2
kincade_2019,0.44897959183673475,0.6666666666666666,9,4
lake_2024,0.18518518518518523,0.6363636363636364,11,2
line_2024,0.5400534621022679,0.6692913385826772,127,4
loma_2016,0.30000000000000004,0.46153846153846156,13,3
meyers_2020,0.5454545454545454,0.8,5,2
mountain_2024,0.2857142857142857,0.5833333333333334,12,2
nuns_2017,0.3005565862708719,0.5517241379310345,29,4
oak_2022,0.4296435272045027,0.5789473684210527,114,4
palisades_2025,-0.1578947368421053,0.6363636363636364,11,2
park_2024,0.3142857142857144,0.6666666666666666,24,4
rim_2013,0.26323384716300413,0.4583333333333333,144,4
river_2020,,1.0,5,1
rye_2017,0.5428571428571429,0.75,8,3
scucomplex_2020,0.26530612244897955,0.5,12,3
silverado_2020,1.0,1.0,4,2
skirball_2017,0.4736842105263158,0.6,5,4
sugar_2021,0.2597591362126246,0.4608695652173913,115,4
tenaja_2019,0.0,0.6666666666666666,3,2
tubbs_2017,0.2114695340501792,0.45,20,4
valley_2020,0.2666666666666667,0.5217391304347826,23,4
walbridge_2020,0.5197255574614066,0.7714285714285715,35,4
woolsey_2018,0.2771084337349399,0.52,25,4
